id_solicitud|id_usuario|nombre|biografia|fecha_enviada|estado|activo
1|22|Taylor Swift|Taylor Swift es una cantante y compositora estadounidense. Es conocida por su inicio en la música country y transición al pop, ha sido una de las cantautoras más jóvenes en ser firmadas por una compañía disquera y una de las artistas con música más vendida de la industria. Taylor es una de las 100 personas más influyentes del mundo, título que ha cosechado con el gran éxito que ha tenido cada una de sus canciones.|13/12/2024|0|true
2|23|Paul Pen|Escritor español nacido en Madrid en 1979, Paul Pen ganó el premio Nuevo Talento Fnac en 2011 con su primera novela, El aviso. Es licenciado en Comunicación Audiovisual y ha trabajado en prensa y televisión para medios como Zero, FHM o Telecinco. Tras su primer libro salió a la luz un recopilatorio con los relatos cortos que había escrito hasta ese momento, Otel y La sangre del muerto. El primero, un viaje en coche que acaba en un motel de carretera cuando azota la tormenta y el segundo, una noche de desfase que termina con los implicados declarando en comisaría.|17/08/2024|1|false
3|20|Madeline Miller|Madeline Miller es una novelista estadounidense licenciada en Filología Clásica por la Universidad de Brown y en Dramaturgia por la Escuela de Arte Dramático de Yale. Además de a la escritura se dedica a impartir clases de Latín, Griego y la obra de Shakespeare a estudiantes de bachillerato. Debutó en el panorama literario con La canción de Aquiles, libro que escribió a lo largo de diez años y que narra la historia de amor entre las figuras mitológicas de Aquiles y Patroclo. Con esta obra fue galardonada con el Premio Orange de Ficción, que convirtió a Miller en la cuarta escritora novel en ganar este galardón.|09/11/2024|1|false
22|177|Irene Solà|"Irene Solà nació en el pueblo de Malla, España, en 1990. Es licenciada en Bellas Artes por la Universidad de Barcelona, y obtuvo un Máster en Literatura, Cine y Cultura Audiovisual en la Universidad de Sussex. Sus textos y obras han sido expuestos y leídos en la Whitechapel Gallery y el Jerwood Arts Centre (Londres), en el Bòlit de Girona, en el MAC de Mataró, en ACVIC, en la Galería JosédelaFuente (Santander), en el Festival Internacional de Poesia de Sant Cugat, en la Festa de la Poesia de Sitges i en el Festival Poesia i +. Colabora regularmente en el digital de cultura La Llança.
Su poemario Bèstia, publicado en 2012, recibió el Premio de Poesía Amadeu Oller, y ha sido traducido al inglés en 2017. Su primera novela, Els dics (2018), ganó el Premio Documenta 2017, y la segunda, Canto jo y la muntanya balla (2019), recibió el Premio Libros Anagrama 2018."|11/05/2025|1|false
23|178|Alfonso Casas|Alfonso Casas Moreno es un ilustrador e historietista español nacido en Zaragoza en 1981. Tras estudiar magisterio y bellas artes, desarrolla su actividad profesional como ilustrador en Barcelona. Su estilo se caracteriza por el uso de la ironía, el trazo grueso y una reducida gama de colores. Entre sus libros pueden citarse Se(nti)mental (2015), que ha sido definido como un libro interactivo que contiene una recopilación de ilustraciones sobre desamor;​ Freddie Mercury, una biografía (2018) y Amores: Algunas cosas que aprendí y otras que me costó olvidar (2019), un libro con algunas ilustraciones completas y otras en forma de cómic en el que comparte experiencias sobre amores y desamores. Entre sus cómics se encuentra Amores minúsculos (2012), que ha sido llevado al teatro. Otro de ellos es El final de todos los agostos (2017), que ha sido traducido al francés, en el que el protagonista de la historia regresa al lugar donde muchos años atrás había pasado sus vacaciones para realizar un proyecto fotográfico. Posteriormente publicó Monstruosamente (2020), un cómic en blanco y negro sobre los miedos que asaltan a las personas en su día a día. Tras su éxito edita Las Orejas al Lobo (2022) y Todas las personas que fui (2023) que continúan la historia de los monstruos internos con los que lidiamos.|11/05/2025|1|false
24|179|Sally Rooney|"Nacida en Castlebar el 20 de febrero de 1991, Sally Rooney es una autora irlandesa que estudió Inglés en el Trinity College de Dublín y posee un máster en Literatura Norteamericana. En sus años como estudiante ganó ligas de debate y oratoria a nivel europeo.

Ha publicado textos en Granta, The Dublin Review, Winter Pages, The New Yorker y The Stinging Fly, medio en el que trabaja como editora desde 2017.

Por su primera novela, Conversaciones entre amigos, ganó el premio Escritora Joven del Año 2017 del Sunday Times. Después de esta vio la luz Gente normal, una historia que se adaptó a televisión y con la que Rooney cosechó gran éxito, ganando premios como el Costa Novel Award y el Irish Novel of the Year, además de quedar finalista del Man Booker Prize o el Women's Prize for Fiction."|11/05/2025|1|false
25|180|Pol Guasch|Es poeta e investigador. Se graduó en Estudios Literarios y ha cursado un máster en Construcción y Representación de Identidades Culturales en la Universidad de Barcelona, donde ha sido profesor asociado de Literatura y Crítica de la Cultura. En el Programa de Estudios Independientes del MACBA desarrolló una investigación sobre amor, revolución y poesía, que actualmente sigue en curso en el King’s College de Londres, donde reside. Es autor del libro de poesía Tanta gana (2018).|11/05/2025|1|false
26|181|Joël Dicker|"Escritor suizo, Joël Dicker estudió Drama en París, pero volvió a Suiza donde estudió Derecho en la Universidad de Ginebra. Dicker ha desarrollado su carrera en lengua francesa, siendo ganador de premios como el Goncourt des Lycéens, el Lire o el Grand Prix de la Academia Francesa. 

Dicker se dio a conocer al ganar el Prix des Ecrivains Genevois, un premio destinado a destacar manuscritos sin publicar. Tras este éxito, su primera novela, Los últimos días de nuestros padres, fue publicada en Francia. Pocos meses después se publicó también La verdad sobre el caso Harry Quebert, que se convirtió en todo un fenómeno de ventas a nivel internacional. 

Su obra ha sido traducida a más de treinta idiomas y, con La verdad sobre el caso Harry Quebert, inició su andadura en el mercado en castellano. Desde entonces ha publicado El libro de los Baltimore, El tigre y La desaparición de Stephanie Mailer, entre otros."|11/05/2025|1|false
27|182|Adam Silvera|"Autor de ficción juvenil, Adam Silvera nació en Nueva York el 7 de junio de 1990. Empezó a escribir fanfiction cuando tenía tan solo 10 años.

A lo largo de su carrera Silvera ha trabajado en la industria editorial como librero, como auxiliar de marketing en una empresa de promoción literaria y como crítico de novelas tanto infantiles como juveniles.

Su primera novela, Recuerda aquella vez, cosechó muy buenas críticas y consiguió numerosas menciones en prestigiosas publicaciones. Desde entonces ha publicado otros libros como El hijo infinito, Solo quedó nuestra historia, Al final mueren los dos o ¿Y si fuéramos nosotros? escrito junto a Becky Albertalli."|11/05/2025|1|false
28|183|Brandon Sanderson|Brandon Sanderson (Nebraska, 1975) es el gran autor de fantasía del siglo XXI. Tras debutar en 2006 con su novela Elantris, ha deslumbrado a más de treinta y cinco millones de lectores en casi cuarenta lenguas con el Cosmere, el fascinante universo de magia que comparten la mayoría de sus obras. Sus best sellers son considerados clásicos instantáneos, como la saga Mistborn, la decalogía El Archivo de las Tormentas, la saga Escuadrón y las cuatro novelas secretas con las que, en 2021, protagonizó la mayor campaña de financiación de Kickstarter. Con un plan de publicación de más de veinte futuras obras (que contempla la interconexión de todas ellas), el Cosmere se convertirá en el universo más extenso e impresionante jamás escrito en el ámbito de la fantasía épica. Sanderson vive en Utah con su esposa e hijos y enseña escritura creativa en la Universidad Brigham Young. Curso de escritura creativa es el libro que recoge sus valiosos consejos.|11/05/2025|1|false
29|184|Dolores Redondo|"Dolores Redondo (Donostia-San Sebastián, 1969) es la autora de la «Trilogía del Baztán», el fenómeno literario en castellano más importante de los últimos años, que inauguró un género propio, el mystic noir: El guardián invisible, Legado en los huesos y Ofrenda a la tormenta; adaptadas al cine con gran éxito entre 2017 y 2020, y actualmente disponibles en Netflix a nivel internacional.

A la trilogía le siguió Todo esto te daré (2016), uno de los premios Planeta más vendidos de la historia del premio, y adaptado como serie de la televisión pública francesa en 2024 con gran acogida. La novela también recibió el prestigioso premio Bancarella en Italia. En 2019 regresó al universo del Baztán con La cara norte del corazón, que está en desarrollo como serie televisiva en Hollywood: un hito de la ficción española contemporánea. En 2021 se editorial reeditó Los privilegios del ángel, su primera novela. Con Esperando al diluvio (2022) entusiasmó de nuevo a lectores y crítica, además de motivar una nueva adaptación audiovisual.

En 2024, publica Las que no duermen NASH, el segundo volumen de Los Valles Tranquilos, cuarteto que inauguró Esperando al diluvio y a la que seguirán dos novelas más. Hoy son ya 38 los idiomas a los que se han traducido sus obras, que cuentan con millones de lectores en todo el mundo."|11/05/2025|1|false
30|185|Julia Quinn|"Julia Quinn es el seudónimo más utilizado por la escritora americana Julie Cutler,la cual se graduó en Historia del Arte en la Universidad de Harvard, iniciando estudios de Medicina en la de Yale, que no concluyó por el inesperado éxito de sus novelas.

Quinn ha sido traducida a más de 25 idiomas y es una habitual de las listas de los más vendidos del New York Times. A lo largo de su carrera ha recibido numerosos premios y galardones, de entre los que habría que destacar varios Premios Rita.

Quinn es autora de novelas de tipo feminista dentro del género histórico romántico, donde es considerada como una maestra de los diálogos."|11/05/2025|1|false
31|186|Patrick Rothfuss|"Escritor americano, Patrick Rothfuss estudió en la Universidad de Wisconsin-Stevens Points mientras trabajaba en los más variados oficios. Tras graduarse y completar sus estudios en la Universidad de Washington, volvió a Stevens Points para impartir clases.

En lo literario, Rothfuss inició la escritura de su serie más famosa, Crónica del asesino de reyes, durante sus primeros estudios universitarios. La primera novela fue rechazada en varias ocasiones hasta que El nombre del viento llegó a ser publicado en 2007, año en el que se llevó el Premio Quill. Rothfuss alcanzó los primeros puestos en ventas del New York Times y el Times, convirtiéndose en uno de los autores de literatura fantástica más conocidos de la actualidad.

Hasta el momento, Rothfuss ha publicado dos de los tres tomos de su serie, siendo El temor de un hombre sabio la continuación de El nombre del viento. Además, Rothfuss es conocido por su labor dentro de la cooperación y solidaridad a través del proyecto Worldbuilders."|11/05/2025|1|false
32|187|Rick Riordan|"Escritor americano, Rick Riordan es un autor de fantasía, misterio y literatura juvenil, conocido principalmente por su serie de libros Percy Jackson y los dioses del Olimpo.

Riordan estudió en la Universidad de Texas y pasó varios años trabajando como profesor de Inglés y Estudios Sociales en San Francisco, donde comenzó a desarrollar las historias de su personaje más emblemático, Percy Jackson. Riordan ha recibido diversos galardones —como un Premio Edgar— por sus relatos de misterio y ha publicado en revistas como Ellery Quin.

En 2006 publicó la primera entrega de la serie de Percy Jackson, Percy Jackson y el ladrón del rayo. Con ella da comiendo una serie de fantasía juvenil que ha logrado varias adaptaciones al cine, creando un universo que ha explorado con otras series sobre la mitología griega. Además, Riordan también ha escrito sobre otras tradiciones, como la egipcia o la nórdica."|11/05/2025|1|false
33|188|Stephen King|"Escritor estadounidense de novelas de terror, Stephen King, cuyo pseudónimo es el de Richard Bachman, nació el 21 de septiembre de 1947 en Portland.
Su primera novela fue Carrie en 1974, una historia sobre una joven con poderes psíquicos. En un principio, el autor desechó la historia, pero gracias a su esposa la reanudó y publicó, llegando a ser una de sus grandes obras de éxito que sería posteriormente llevada a la gran pantalla. A partir de entonces vieron la luz más obras como El misterio de Salem's Lot (1975), El resplandor (1977), La zona muerta (1979), Cujo (1981), Cementerio de animales (1983), It (1986), Misery (1987), La cúpula (2009), Doctor Sueño (2013) o Revival (2013), varias de ellas llevadas también al cine."|13/05/2025|1|false
34|189|T. J. Klune|"Escritor americano, TJ Klune, de nombre completo Travis John Klune, nació en Roseburg, Oregón, el 20 de mayo de 1982. Se le conoce en el ámbito literario por sus novelas juveniles con representación LGTBIQ+. Ha sido su propia pertenencia al colectivo como persona asexual lo que ha propiciado que en sus libros se traten dichas temáticas.
A lo largo de su trayectoria ha combinado su trabajo como perito de seguros con su pasión por la literatura. Comenzó a escribir con tan solo 8 años, siendo sus poemas y relatos los primeros textos de Klune en publicarse.
De entre la producción literaria de Klune destacan títulos como Dos hombres y un niño, La casa en el mar más azul y la serie Green Creek, compuesta por novelas como La canción del lobo y La canción del cuervo."|13/05/2025|1|false
35|190|Hanya Yanagihara|"Editora, novelista y autora de libros de viajes, Hanya Yanagihara nació en Los Ángeles el 20 de septiembre de 1974 y vivió durante su infancia en Hawái, Nueva York, Maryland, California o Texas, entre otros lugares.

Yanagihara se graduó en el Smith College en 1995, trasladándose después a Nueva York para trabajar en el ámbito de la publicidad. En 2017 la nombraron directora de la revista T, el suplemento de moda de The New York Times.

Su carrera literaria despegó en 2015 con la publicación de Tan poca vida, novela con la que dio el salto a la fama a nivel internacional. Su producción literaria también cuenta con otros títulos como La gente en los árboles o Al paraíso."|13/05/2025|1|false
36|191|Fernando Aramburu|"Fernando Aramburu Irigoyen. (San Sebastián, 1959).  Escritor, ensayista y poeta, es licenciado en Filología Hispánica por la Universidad de Zaragoza (1982). En sus primeros trabajos impulsó la cultura desde revistas literarias hasta que en 1985 se trasladó a Lippstadt (Alemania) para enseñar español a hijos de inmigrantes. En 2009 abandona la docencia y decide dedicarse exclusivamente a la literatura. Actualmente reside en Hannover y es colaborador habitual en diarios y revistas.

Su primera novela con la que se dio a conocer Fuegos con limón fue galardonada en 1997 con el Premio Ramón Gómez de la Serna. En cuanto a sus libros de poesía, Ave sombra/Itzal hegazti (1981) y Bruma y conciencia/Lambroa eta kontzientzia (1977-1990) (1993) han sido publicados tanto en español como en euskera."|13/05/2025|1|false
37|192|Marco Amerighi|Marco Amerighi vive en Milán, donde trabaja como traductor, editor y escritor fantasma para varias editoriales. Su primera novela, Le nostre ore contate (Mondadori, 2018), ganó el premio Bagutta Opera Prima y fue publicada en Francia. Errantes es su segunda novela.|13/05/2025|1|false
38|193|Ocean Voung|"Nacido en Ho Chi Minh, Vietnam, Ocean Vuong pasó un año en un campo de refugiados en Filipinas junto a su familia y, en 1990 con tan solo dos años, emigró con ellos a Estados Unidos tras conseguir asilo. Vuong fue el primero de su familia en aprender a leer cuando cumplió los once.

El autor estudió Literatura Inglesa del siglo XIX en el Brooklyn College y también Poesía en la Universidad de Nueva York. Sus poemas y composiciones se han publicado en numerosos medios, entre ellos The New Yorker y The New York Times. Reside en Northampton, Massachusetts y es profesor en el Amherst College de la misma ciudad.

Su primera novela, En la tierra somos fugazmente grandiosos, está inspirada en las propias vivencias del autor."|13/05/2025|1|false
